horizon_months,rank,strategy,label,family,asset_events,asset_successes,asset_probability_pct,independent_market_episodes,independent_events,successes,empirical_probability,probability_pct,confidence_95_low_pct,confidence_95_high_pct,familywise_confidence_low_pct,familywise_confidence_high_pct,median_net_return_pct,quartile_25_net_return_pct,worst_net_return_pct,worst_drawdown_pct,qualifies
12,4,drawdown_recovery_20,20% Drawdown Recovery,reversal,93,71,76.34,13,13,10,0.7692307692307693,76.92,49.74,91.82,28.98,96.46,20.82,10.51,-59.69,-76.95,False
12,5,rsi14_recovery,RSI 14 Recovery,reversal,212,123,58.02,20,20,15,0.75,75.0,53.13,88.81,34.5,94.47,12.48,4.39,-67.66,-71.63,False
12,6,drawdown_recovery_40,40% Drawdown Recovery,reversal,20,18,90.0,4,4,3,0.75,75.0,30.06,95.44,12.34,98.46,28.13,20.58,-4.04,-39.12,False
12,7,trend,SMA 50/200 + Momentum,trend,212,125,58.96,20,20,14,0.7,70.0,48.1,85.45,30.7,92.47,12.74,4.9,-34.21,-59.37,False
12,8,trend_triple_ma,Triple Moving Average,trend,252,141,55.95,20,20,14,0.7,70.0,48.1,85.45,30.7,92.47,12.66,4.63,-55.28,-59.82,False
12,9,trend_breakout_200,200-Day Range Breakout,trend,141,87,61.7,19,19,13,0.6842105263157895,68.42,46.01,84.64,28.83,92.06,13.73,4.71,-32.02,-40.13,False
12,10,trend_breakout_100,100-Day Range Breakout,trend,162,94,58.02,19,19,13,0.6842105263157895,68.42,46.01,84.64,28.83,92.06,12.6,3.12,-32.02,-54.26,False
12,11,trend_ema50_200,EMA 50/200,trend,280,162,57.86,22,22,15,0.6818181818181818,68.18,47.32,83.64,30.71,91.2,11.69,3.88,-40.16,-56.88,False
12,12,momentum_rank_90,Top Relative Momentum 90,momentum,169,99,58.58,21,21,14,0.6666666666666666,66.67,45.37,82.81,28.96,90.75,13.18,2.25,-43.84,-59.82,False
12,13,rsi28_recovery,RSI 28 Recovery,reversal,172,114,66.28,18,18,12,0.6666666666666666,66.67,43.75,83.72,26.86,91.59,17.5,4.96,-67.66,-71.63,False
12,14,buy_hold,Buy & Hold Benchmark,benchmark,322,197,61.18,23,23,15,0.6521739130434783,65.22,44.89,81.19,29.12,89.54,13.05,4.1,-67.66,-71.63,False
12,15,momentum_rank_365,Top Relative Momentum 365,momentum,115,70,60.87,20,20,13,0.65,65.0,43.29,81.88,27.12,90.26,12.83,3.88,-38.32,-59.82,False
12,16,vol_contraction_trend,Volatility Contraction Trend,risk,218,124,56.88,20,20,13,0.65,65.0,43.29,81.88,27.12,90.26,12.03,3.09,-35.7,-60.6,False
12,17,momentum_180,180-Day Absolute Momentum,momentum,284,165,58.1,22,22,14,0.6363636363636364,63.64,42.95,80.27,27.4,89.03,13.37,4.73,-37.32,-59.37,False
12,18,trend_price_sma100,Price above SMA 100,trend,299,174,58.19,22,22,14,0.6363636363636364,63.64,42.95,80.27,27.4,89.03,12.83,3.84,-49.65,-59.82,False
12,19,momentum_composite,Composite Momentum,momentum,129,78,60.47,22,22,14,0.6363636363636364,63.64,42.95,80.27,27.4,89.03,12.4,1.7,-39.0,-59.82,False
12,20,momentum,Top Relative Momentum 180,momentum,141,81,57.45,22,22,14,0.6363636363636364,63.64,42.95,80.27,27.4,89.03,12.22,4.07,-37.32,-59.82,False
12,21,momentum_365,365-Day Absolute Momentum,momentum,287,164,57.14,22,22,14,0.6363636363636364,63.64,42.95,80.27,27.4,89.03,12.2,3.76,-45.23,-59.37,False
12,22,momentum_dual_180_365,Dual Momentum 180/365,momentum,273,150,54.95,22,22,14,0.6363636363636364,63.64,42.95,80.27,27.4,89.03,11.94,3.4,-45.23,-59.37,False
12,23,trend_sma100_200,SMA 100/200,trend,272,157,57.72,21,21,13,0.6190476190476191,61.9,40.88,79.25,25.61,88.46,12.57,4.49,-55.28,-59.82,False
12,24,trend_ema100_200,EMA 100/200,trend,279,160,57.35,21,21,13,0.6190476190476191,61.9,40.88,79.25,25.61,88.46,11.94,3.99,-40.16,-47.36,False
12,25,bollinger_recovery,Bollinger Recovery,reversal,175,108,61.71,18,18,11,0.6111111111111112,61.11,38.62,79.7,23.2,89.1,14.42,4.1,-67.66,-71.63,False
12,26,breadth_trend,Broad-Market Trend,risk,278,158,56.83,20,20,12,0.6,60.0,38.66,78.12,23.75,87.84,12.27,2.13,-39.0,-60.6,False
12,27,momentum_270,270-Day Absolute Momentum,momentum,286,167,58.39,22,22,13,0.5909090909090909,59.09,38.73,76.74,24.27,86.69,12.46,4.37,-34.76,-50.9,False
12,28,momentum_dual_90_180,Dual Momentum 90/180,momentum,275,152,55.27,21,21,12,0.5714285714285714,57.14,36.55,75.53,22.45,86.0,12.42,2.66,-39.0,-59.82,False
12,29,low_vol_trend,Low-Volatility Trend,risk,183,99,54.1,22,22,12,0.5454545454545454,54.55,34.66,73.08,21.29,84.19,11.21,3.16,-41.63,-60.56,False
12,30,momentum_90,90-Day Absolute Momentum,momentum,291,153,52.58,22,22,12,0.5454545454545454,54.55,34.66,73.08,21.29,84.19,10.72,0.37,-53.13,-62.99,False
