portfolio,portfolio_label,horizon_months,rolling_windows,effective_independent_windows,usd_plus_10_count,usd_plus_10_pct,rub_plus_10_pct,real_plus_10_pct,positive_usd_pct,beats_deposit_pct,median_usd_return_pct,median_rub_return_pct,median_real_return_pct,median_final_rub,worst_usd_return_pct,best_usd_return_pct,usd_plus_10_wilson_low_pct,usd_plus_10_familywise_low_pct,formally_over_80
core_plus_trend,50% macro core / 50% trend,8,169,21,54,31.95,51.48,38.46,69.23,65.09,5.22,10.36,6.35,110355.02,-25.33,57.77,17.19,10.31,False
top5_trend_equal,Top-5 positive 10-month trends,7,170,24,54,31.76,47.06,41.76,61.18,61.18,3.29,8.89,5.42,108889.88,-43.32,87.32,17.97,11.09,False
top3_rotation,Top-3 resource momentum rotation,6,171,28,52,30.41,46.2,35.67,57.89,59.65,3.54,8.69,5.15,108689.33,-38.73,130.96,17.93,11.35,False
fixed_macro_barbell,Precious / real-assets barbell,9,168,18,51,30.36,45.24,35.12,69.05,53.57,5.17,8.02,4.38,108016.42,-18.08,47.22,12.5,6.96,False
equal_weight_core,Equal-weight diversified resources,9,168,18,51,30.36,46.43,33.33,67.26,55.36,4.94,8.84,4.9,108837.13,-17.61,56.13,12.5,6.96,False
top5_trend_inverse_vol,"Top-5 trends, inverse volatility",6,171,28,50,29.24,48.54,39.18,63.74,61.99,4.53,9.58,6.57,109576.74,-38.31,71.46,15.25,9.42,False
fixed_macro_barbell,Precious / real-assets barbell,8,169,21,49,28.99,43.79,30.77,69.23,53.25,4.69,7.77,4.27,107774.51,-15.06,40.85,13.81,8.01,False
defensive_plus_trend,50% defensive / 50% trend,8,169,21,48,28.4,54.44,37.87,66.86,64.5,4.48,11.39,6.86,111394.55,-25.75,56.48,13.81,8.01,False
top5_trend_equal,Top-5 positive 10-month trends,6,171,28,48,28.07,49.12,39.18,61.99,61.4,3.79,9.37,5.85,109370.76,-39.95,77.36,15.25,9.42,False
defensive_trend_barbell,Barbell with trend-to-cash filter,12,165,13,46,27.88,55.15,43.03,72.12,55.15,3.56,12.49,5.87,112488.99,-8.74,49.99,12.68,6.7,False
core_plus_trend,50% macro core / 50% trend,7,170,24,46,27.06,46.47,35.29,66.47,63.53,4.64,8.69,5.56,108687.37,-28.26,57.66,12.0,6.97,False
top3_rotation,Top-3 resource momentum rotation,5,172,34,43,25.0,42.44,31.98,54.65,55.81,2.54,6.9,3.57,106898.75,-38.67,96.42,12.44,7.68,False
top3_rotation,Top-3 resource momentum rotation,4,173,43,43,24.86,35.26,31.21,52.02,52.6,0.87,5.12,2.47,105122.35,-34.31,67.75,14.93,9.83,False
top5_trend_inverse_vol,"Top-5 trends, inverse volatility",5,172,34,42,24.42,44.19,36.05,59.88,60.47,3.12,7.81,4.52,107810.14,-38.25,54.23,12.44,7.68,False
top5_trend_equal,Top-5 positive 10-month trends,5,172,34,42,24.42,43.02,36.05,58.72,59.88,2.46,7.59,4.86,107591.25,-39.89,53.03,12.44,7.68,False
defensive_plus_trend,50% defensive / 50% trend,7,170,24,41,24.12,49.41,35.88,66.47,60.59,3.75,9.32,6.37,109322.47,-25.66,56.3,12.0,6.97,False
fixed_macro_barbell,Precious / real-assets barbell,7,170,24,40,23.53,38.82,27.65,68.82,56.47,3.98,7.1,3.38,107097.63,-16.03,40.39,12.0,6.97,False
top5_trend_equal,Top-5 positive 10-month trends,4,173,43,40,23.12,39.31,33.53,53.76,56.07,1.98,5.79,3.4,105790.07,-32.84,46.01,13.15,8.5,False
equal_weight_core,Equal-weight diversified resources,8,169,21,38,22.49,44.38,31.95,67.46,53.25,4.54,7.57,4.21,107572.53,-17.26,48.51,10.63,5.93,False
defensive_trend_barbell,Barbell with trend-to-cash filter,11,166,15,37,22.29,51.2,39.76,72.29,52.41,3.5,10.89,4.76,110889.69,-8.91,44.69,7.05,3.51,False
core_plus_trend,50% macro core / 50% trend,6,171,28,38,22.22,40.35,36.26,68.42,59.06,3.81,7.45,4.53,107445.89,-25.42,50.34,10.21,5.94,False
equal_weight_core,Equal-weight diversified resources,7,170,24,37,21.76,40.59,28.82,63.53,53.53,3.76,6.87,3.48,106867.62,-15.55,43.88,9.24,5.16,False
defensive_trend_barbell,Barbell with trend-to-cash filter,10,167,16,36,21.56,48.5,35.33,69.46,52.1,3.16,9.74,4.3,109736.5,-7.9,42.63,6.59,3.29,False
top5_trend_inverse_vol,"Top-5 trends, inverse volatility",4,173,43,37,21.39,36.42,34.1,57.8,58.38,1.92,6.15,4.47,106153.91,-32.39,42.03,11.42,7.23,False
equal_weight_core,Equal-weight diversified resources,6,171,28,36,21.05,35.09,25.73,63.74,57.31,3.56,6.09,3.09,106085.93,-15.59,38.24,10.21,5.94,False
top3_rotation,Top-3 resource momentum rotation,3,174,58,36,20.69,31.03,28.16,52.87,54.6,0.84,3.53,2.02,103533.85,-29.98,55.51,12.25,8.19,False
fixed_macro_barbell,Precious / real-assets barbell,6,171,28,33,19.3,34.5,26.32,68.42,54.97,3.46,5.45,2.91,105453.74,-15.87,34.63,7.88,4.4,False
fixed_macro_barbell,Precious / real-assets barbell,5,172,34,32,18.6,31.4,25.0,65.7,54.07,3.01,5.24,2.59,105236.32,-16.79,28.41,8.35,4.86,False
defensive_plus_trend,50% defensive / 50% trend,6,171,28,30,17.54,40.94,35.09,64.91,60.82,3.41,8.07,4.96,108066.5,-23.52,50.07,7.88,4.4,False
core_plus_trend,50% macro core / 50% trend,5,172,34,30,17.44,38.95,31.4,65.7,56.4,3.04,6.77,4.49,106768.39,-24.8,40.94,8.35,4.86,False
equal_weight_core,Equal-weight diversified resources,5,172,34,28,16.28,32.56,23.84,63.37,54.65,2.71,5.47,2.66,105467.38,-17.21,31.71,8.35,4.86,False
top5_trend_equal,Top-5 positive 10-month trends,3,174,58,28,16.09,32.76,29.31,56.32,55.17,1.31,4.14,2.92,104138.81,-28.84,39.53,8.38,5.31,False
defensive_trend_barbell,Barbell with trend-to-cash filter,9,168,18,27,16.07,44.05,33.33,68.45,54.17,2.65,8.46,3.81,108464.8,-9.44,42.55,5.84,2.91,False
